SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
318000,Bishopdale West,323500,Middleton,0,24,9,0,0,0,0,0,0,0,0,39
141800,Kohimarama,135100,Symonds Street North West,0,0,0,0,0,0,0,0,0,0,0,9
301500,Golden Downs,304000,Nelson Airport,0,9,9,0,0,0,0,0,0,0,0,15
328600,Aranui,325000,Hillmorton,0,0,0,0,0,0,0,0,0,0,0,6
149000,Pakuranga West,134100,Queen Street South West,0,0,0,0,0,0,0,0,0,0,0,9
328600,Aranui,326600,Christchurch Central,0,18,0,0,0,0,0,0,0,0,0,27
144100,Onehunga West,137700,Mount Eden North East,0,9,0,0,0,0,0,0,0,0,0,12
122100,Bayview South,133800,Hobson Ridge South,0,6,0,0,0,0,0,0,0,0,0,6
116200,Gulf Harbour South,117300,Albany Central,0,42,0,0,0,0,0,0,0,0,0,48
325800,Christchurch Central-North,325500,Tower Junction,0,36,0,0,0,0,0,0,0,0,0,45
315900,Sovereign Palms,323500,Middleton,0,21,12,0,0,0,0,0,0,0,0,33
351600,Roslyn (Dunedin City),352900,Arthur Street,0,12,0,0,0,0,0,0,0,0,0,21
142300,Waikowhai North,155500,Manukau Central,0,15,0,0,0,0,0,0,0,0,0,24
318500,Avonhead North,320000,Northlands (Christchurch City),0,0,0,0,0,0,0,0,0,0,0,6
128800,Hauraki,135900,Symonds Street East,0,0,0,0,0,0,0,0,0,0,0,12
163200,Papakura Central,134300,Karangahape,0,0,0,0,0,0,0,0,0,0,0,6
254800,Miramar East,253600,Newtown South,0,6,0,0,0,0,0,0,0,0,0,12
159300,The Gardens (Auckland),162400,Glenbrook,0,0,0,0,0,0,0,0,0,0,0,9
142000,Hillsborough North (Auckland),138700,Epsom North,0,6,0,0,0,0,0,0,0,0,0,6
120600,Massey Central,155500,Manukau Central,0,6,0,0,0,0,0,0,0,0,0,12
129400,Bayswater,129300,Belmont (Auckland),0,18,0,0,0,0,0,0,0,0,0,21
314100,Ashgrove,313900,Rangiora North West,0,9,0,0,0,0,0,0,0,0,0,15
326700,Hoon Hay West,326100,Addington West,0,6,0,0,0,0,0,0,0,0,0,9
326300,Oaklands East,327600,Spreydon North,0,0,0,0,0,0,0,0,0,0,0,6
253900,Melrose,250700,Pipitea-Kaiwharawhara,0,18,0,0,15,0,0,9,0,0,0,54
333900,Glentunnel,326600,Christchurch Central,0,6,0,0,0,0,0,0,0,0,0,6
141500,Epsom East,138700,Epsom North,0,15,0,0,0,0,0,0,0,0,0,18
136100,Grafton,147700,Mount Wellington Industrial,0,0,0,0,0,0,0,0,0,0,0,6
149000,Pakuranga West,137700,Mount Eden North East,0,9,0,0,0,0,0,0,0,0,0,9
239600,Camborne,251600,Dixon Street,0,9,0,0,0,0,9,0,0,0,0,21
306500,Marlborough Sounds East,307300,Woodbourne,0,15,0,0,0,0,0,0,0,0,0,15
243000,Upper Hutt Central,242200,Trentham South,0,15,0,0,0,0,0,0,0,0,0,15
305600,Grampians,305100,Aldinga,0,9,0,0,0,0,0,0,0,0,0,6
157500,Chapel Downs,150700,Pakuranga Heights East,0,12,0,0,0,0,0,0,0,0,0,15
204400,Opotiki,204500,Otara-Tirohanga ,0,177,21,54,0,0,0,0,9,0,0,264
180800,Silverdale (Hamilton City),177300,Chartwell,0,0,0,0,0,0,0,0,0,0,0,6
340200,Marchwiel West,340300,Marchwiel East,0,9,0,0,0,0,0,0,9,0,0,18
189200,Waipahihi,188900,Mountview,0,30,6,0,0,0,0,0,0,0,0,36
134200,Mount Albert Central,135900,Symonds Street East,0,6,0,0,0,0,0,0,0,0,0,9
124200,Ranui South West,144200,Ellerslie West,0,6,0,0,0,0,0,0,0,0,0,9
157300,Ormiston North,154900,Papatoetoe Central,0,6,0,0,0,0,0,0,0,0,0,12
157400,Maraetai,136400,Parnell West,0,6,0,0,0,0,0,0,0,0,0,9
136400,Parnell West,133200,Queen Street,0,18,0,0,39,0,0,0,42,0,0,114
213400,Hospital Hill,212500,Poraiti Flat,0,0,0,0,0,0,0,0,0,0,0,6
231000,Papaioea South,230500,Papaioea North,0,9,0,0,0,0,0,0,0,0,0,18
134700,Kaurilands,135600,New Lynn Central South,0,9,0,0,0,0,0,0,0,0,0,9
216800,Blagdon-Lynmouth,219600,Inglewood,0,0,0,0,0,0,0,0,0,0,0,6
248300,Churton Park South,247900,Tawa Central,0,15,0,0,0,0,0,0,0,0,0,27
248800,Ngaio North,247900,Tawa Central,0,0,0,0,0,0,0,0,0,0,0,9
149200,Sunnyhills East,151300,Highland Park (Auckland),0,15,0,0,0,0,0,0,0,0,0,15
241500,Birchville-Brown Owl,242300,Mangaroa,0,9,0,0,0,0,0,0,0,0,0,12
175000,Matamata South,186000,Putararu,0,0,0,0,0,0,0,0,0,0,0,9
134500,Anzac Avenue,137700,Mount Eden North East,0,0,0,0,0,0,0,0,0,0,0,9
174300,Waihou-Manawaru,173600,Mangaiti,0,6,0,0,0,0,0,0,0,0,0,6
231700,Hokowhitu Central,229400,Whakarongo,0,0,0,0,0,0,0,0,0,0,0,6
246100,Waterloo East,243700,Petone Central,0,42,6,0,0,0,0,0,0,0,0,60
317800,Bishopdale North,327600,Spreydon North,0,6,0,0,0,0,0,0,0,0,0,9
321700,Mairehau North,324600,Shirley East,0,9,0,0,0,0,0,0,0,0,0,15
125500,Westlake,132700,Hobson Ridge North,0,6,0,0,9,0,0,0,0,0,0,18
230800,Terrace End,229800,Palmerston North Hospital,0,42,0,0,0,0,0,0,6,0,0,60
231600,Esplanade,229800,Palmerston North Hospital,0,6,0,0,0,0,0,0,0,0,0,9
181000,Resthill,179800,Hamilton West,0,87,0,6,6,0,0,0,0,0,0,114
255300,Kopuaranga,256500,Whareama,0,0,0,0,0,0,0,0,0,0,0,6
