SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
156400,Te Puru,155400,Botany South,0,0,0,0,0,0,0,0,0,0,0,12
250300,Wadestown,251300,Wellington University,0,12,0,0,36,0,0,0,9,0,0,63
354000,Concord,352900,Arthur Street,0,0,0,21,0,0,0,0,0,0,0,21
176800,Crawshaw,176500,Saint Andrews East,0,0,0,6,0,0,0,0,0,0,0,6
171700,Whitikahu,179500,Hamilton Lake,0,0,0,6,6,0,0,0,0,0,0,21
173400,Tamahere South,182600,Cambridge North,0,6,0,27,0,9,0,0,0,0,0,45
169100,Paeroa Rural,168800,Hauraki Plains East,0,0,0,6,0,0,0,0,0,0,0,9
249900,Karori North,249200,Johnsonville South,0,0,0,0,0,6,0,0,0,0,0,6
111200,Puhoi Valley,112900,Orewa South,0,0,0,18,0,45,0,0,0,0,0,66
224400,Springvale West,223500,Brunswick-Papaiti,0,0,0,24,0,0,0,0,0,0,0,30
228200,Warwick,227900,Makino,0,0,0,0,0,0,0,0,0,0,0,6
317600,Regents Park,327100,Christchurch Central-South,0,9,0,6,0,0,0,0,0,0,0,18
320600,Jellie Park,321500,Fendalton,0,0,0,15,0,0,0,12,36,0,0,63
174700,Okauia,174500,Richmond Downs-Wardville,0,0,0,0,0,9,0,0,0,0,0,12
128900,Glendene North,128500,Te Atatu South-McLeod South,0,0,0,54,0,0,0,0,0,0,0,60
230500,Papaioea North,231600,Esplanade,0,0,0,15,0,0,0,0,0,0,0,30
176500,Saint Andrews East,177800,Porritt,0,0,0,0,0,0,0,0,0,0,0,6
355600,Andersons Bay,353400,Dunedin Central,0,21,0,12,6,0,0,0,0,0,0,42
321000,Sockburn North,321800,Bush Inn,0,0,0,6,0,0,0,0,12,0,0,21
133600,Morningside (Auckland),129900,Point Chevalier East,0,0,0,6,0,0,0,0,0,0,0,15
323700,Queenspark,327500,Avondale (Christchurch City),0,0,0,9,0,9,0,0,0,0,0,21
138300,New Windsor South,140300,Mount St John,0,0,0,6,0,0,0,0,0,0,0,6
131700,Avondale West (Auckland),127500,Henderson Central,0,0,0,0,0,0,0,0,0,0,0,6
340100,Glenwood,340500,Highfield South,0,0,0,18,0,0,0,0,36,0,0,60
